positive_threshold,negative_threshold,val_macro_f1,val_iletim_f1,val_iletim_precision,val_iletim_recall,val_iletim_fn,val_iletim_fp,val_iletim_total_error
0.85,0.32,0.928021672668748,0.8733850129198966,0.8492462311557789,0.898936170212766,19,30,49
0.86,0.18,0.9260693722922033,0.868217054263566,0.8442211055276382,0.8936170212765957,20,31,51
0.86,0.19,0.9260693722922033,0.868217054263566,0.8442211055276382,0.8936170212765957,20,31,51
0.86,0.2,0.9260693722922033,0.868217054263566,0.8442211055276382,0.8936170212765957,20,31,51
0.86,0.21,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.86,0.22,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.86,0.23,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.86,0.24,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.86,0.25,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.86,0.26,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.86,0.27,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.86,0.28,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.86,0.29,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.86,0.3,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.86,0.31,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.86,0.32,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.87,0.18,0.9260693722922033,0.868217054263566,0.8442211055276382,0.8936170212765957,20,31,51
0.87,0.19,0.9260693722922033,0.868217054263566,0.8442211055276382,0.8936170212765957,20,31,51
0.87,0.2,0.9260693722922033,0.868217054263566,0.8442211055276382,0.8936170212765957,20,31,51
0.87,0.21,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.87,0.22,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.87,0.23,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.87,0.24,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.87,0.25,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.87,0.26,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.87,0.27,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.87,0.28,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.87,0.29,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.87,0.3,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.87,0.31,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.87,0.32,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.88,0.18,0.9260693722922033,0.868217054263566,0.8442211055276382,0.8936170212765957,20,31,51
0.88,0.19,0.9260693722922033,0.868217054263566,0.8442211055276382,0.8936170212765957,20,31,51
0.88,0.2,0.9260693722922033,0.868217054263566,0.8442211055276382,0.8936170212765957,20,31,51
0.88,0.21,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.88,0.22,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.88,0.23,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.88,0.24,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.88,0.25,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.88,0.26,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.88,0.27,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.88,0.28,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.88,0.29,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.88,0.3,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.88,0.31,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.88,0.32,0.9269394081980447,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.89,0.18,0.926910566702342,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.89,0.19,0.926910566702342,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.89,0.2,0.926910566702342,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.89,0.21,0.9277844974427807,0.8727272727272727,0.8527918781725888,0.8936170212765957,20,29,49
0.89,0.22,0.9277844974427807,0.8727272727272727,0.8527918781725888,0.8936170212765957,20,29,49
0.89,0.23,0.9277844974427807,0.8727272727272727,0.8527918781725888,0.8936170212765957,20,29,49
0.89,0.24,0.9277844974427807,0.8727272727272727,0.8527918781725888,0.8936170212765957,20,29,49
0.89,0.25,0.9277844974427807,0.8727272727272727,0.8527918781725888,0.8936170212765957,20,29,49
0.89,0.26,0.9277844974427807,0.8727272727272727,0.8527918781725888,0.8936170212765957,20,29,49
0.89,0.27,0.9277844974427807,0.8727272727272727,0.8527918781725888,0.8936170212765957,20,29,49
0.89,0.28,0.9277844974427807,0.8727272727272727,0.8527918781725888,0.8936170212765957,20,29,49
0.89,0.29,0.9277844974427807,0.8727272727272727,0.8527918781725888,0.8936170212765957,20,29,49
0.89,0.3,0.9277844974427807,0.8727272727272727,0.8527918781725888,0.8936170212765957,20,29,49
0.89,0.31,0.9277844974427807,0.8727272727272727,0.8527918781725888,0.8936170212765957,20,29,49
0.89,0.32,0.9277844974427807,0.8727272727272727,0.8527918781725888,0.8936170212765957,20,29,49
0.9,0.18,0.926910566702342,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.9,0.19,0.926910566702342,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.9,0.2,0.926910566702342,0.8704663212435233,0.8484848484848485,0.8936170212765957,20,30,50
0.9,0.21,0.9277844974427807,0.8727272727272727,0.8527918781725888,0.8936170212765957,20,29,49
0.9,0.22,0.9277844974427807,0.8727272727272727,0.8527918781725888,0.8936170212765957,20,29,49
0.9,0.23,0.9277844974427807,0.8727272727272727,0.8527918781725888,0.8936170212765957,20,29,49
0.9,0.24,0.9277844974427807,0.8727272727272727,0.8527918781725888,0.8936170212765957,20,29,49
0.9,0.25,0.9277844974427807,0.8727272727272727,0.8527918781725888,0.8936170212765957,20,29,49
0.9,0.26,0.9277844974427807,0.8727272727272727,0.8527918781725888,0.8936170212765957,20,29,49
0.9,0.27,0.9277844974427807,0.8727272727272727,0.8527918781725888,0.8936170212765957,20,29,49
0.9,0.28,0.9277844974427807,0.8727272727272727,0.8527918781725888,0.8936170212765957,20,29,49
0.9,0.29,0.9277844974427807,0.8727272727272727,0.8527918781725888,0.8936170212765957,20,29,49
0.9,0.3,0.9277844974427807,0.8727272727272727,0.8527918781725888,0.8936170212765957,20,29,49
0.9,0.31,0.9277844974427807,0.8727272727272727,0.8527918781725888,0.8936170212765957,20,29,49
0.9,0.32,0.9277844974427807,0.8727272727272727,0.8527918781725888,0.8936170212765957,20,29,49
0.91,0.18,0.9277556078214199,0.8727272727272727,0.8527918781725888,0.8936170212765957,20,29,49
0.91,0.19,0.9277556078214199,0.8727272727272727,0.8527918781725888,0.8936170212765957,20,29,49
0.91,0.2,0.9277556078214199,0.8727272727272727,0.8527918781725888,0.8936170212765957,20,29,49
0.91,0.21,0.9286334638248513,0.875,0.8571428571428571,0.8936170212765957,20,28,48
0.91,0.22,0.9286334638248513,0.875,0.8571428571428571,0.8936170212765957,20,28,48
0.91,0.23,0.9286334638248513,0.875,0.8571428571428571,0.8936170212765957,20,28,48
0.91,0.24,0.9286334638248513,0.875,0.8571428571428571,0.8936170212765957,20,28,48
0.91,0.25,0.9286334638248513,0.875,0.8571428571428571,0.8936170212765957,20,28,48
0.91,0.26,0.9286334638248513,0.875,0.8571428571428571,0.8936170212765957,20,28,48
0.91,0.27,0.9286334638248513,0.875,0.8571428571428571,0.8936170212765957,20,28,48
0.91,0.28,0.9286334638248513,0.875,0.8571428571428571,0.8936170212765957,20,28,48
0.91,0.29,0.9286334638248513,0.875,0.8571428571428571,0.8936170212765957,20,28,48
0.91,0.3,0.9286334638248513,0.875,0.8571428571428571,0.8936170212765957,20,28,48
0.91,0.31,0.9286334638248513,0.875,0.8571428571428571,0.8936170212765957,20,28,48
0.91,0.32,0.9286334638248513,0.875,0.8571428571428571,0.8936170212765957,20,28,48
0.92,0.18,0.9266677843023535,0.8697916666666666,0.8520408163265306,0.8882978723404256,21,29,50
0.92,0.19,0.9266677843023535,0.8697916666666666,0.8520408163265306,0.8882978723404256,21,29,50
0.92,0.2,0.9266677843023535,0.8697916666666666,0.8520408163265306,0.8882978723404256,21,29,50
0.92,0.21,0.9275450596039314,0.8720626631853786,0.8564102564102564,0.8882978723404256,21,28,49
0.92,0.22,0.9275450596039314,0.8720626631853786,0.8564102564102564,0.8882978723404256,21,28,49
